0, 0.000473, -1030,265,122,1429,-2609,-9621,2228,3931,3621, 0.003663,0.020204,-0.943472, -0.007812,-0.007812,0.000000,-0.009998,-0.009998,0.000000, 0,  0.000000,0.000000,-0.950684, 114,0,3371,3000,3283,3654,3223,3301,3494,3289,0
1, 0.002316, 1124,470,98,701,-3031,-9417,2228,3988,3591, 0.004212,0.020448,-0.943472, -0.007812,-0.007812,0.000000,-0.009998,-0.009998,0.000000, 0,  0.000000,0.000000,-0.950684, 114,0,3000,3517,3888,3371,3223,3289,3492,3346,0
2, 0.003957, 2401,350,39,-774,-2386,-9500,2228,3988,3591, 0.005494,0.020692,-0.943508, -0.007812,-0.007812,0.000000,-0.009998,-0.009998,0.000000, 0,  0.000000,0.000000,-0.950684, 114,0,3000,4054,4378,3323,3223,3289,3455,3346,0
3, 0.005588, 2741,95,28,-1353,-630,-9319,2228,3988,3591, 0.006899,0.020753,-0.943557, -0.007812,-0.007812,0.000000,-0.009998,-0.009998,0.000000, 0,  0.000000,0.000000,-0.950684, 115,0,3000,4204,4423,3218,3289,3278,3455,3359,0
4, 0.007526, 2432,-137,54,-1397,566,-9123,2228,3988,3591, 0.007509,0.020692,-0.943557, -0.007812,-0.007812,0.000000,-0.009998,-0.009998,0.000000, 0,  0.000000,0.000000,-0.950684, 114,0,3000,4081,4203,3121,3289,3278,3494,3359,0
5, 0.009623, 1183,-520,115,-1304,2239,-9059,2228,3988,3591, 0.008059,0.020387,-0.943656, -0.007812,-0.007812,0.000000,-0.009998,-0.009998,0.000000, 0,  0.000000,0.000000,-0.950684, 114,0,3037,3607,3570,3000,3289,3301,3494,3382,0
6, 0.011438, -549,-507,165,-247,3068,-9476,2296,3988,3545, 0.007815,0.020204,-0.943656, -0.007812,-0.007812,0.000000,-0.009998,-0.009998,0.000000, 0,  0.000000,0.000000,-0.950684, 114,0,3176,3032,3000,3143,3267,3370,3557,3382,0
7, 0.013387, -2159,-462,209,1030,2906,-10079,2296,3988,3545, 0.006716,0.019899,-0.943706, -0.007812,-0.007812,0.000000,-0.009998,-0.009998,0.000000, 0,  0.000000,0.000000,-0.950684, 114,0,3832,3015,3000,3816,3267,3370,3558,3382,0
8, 0.015379, -2807,-108,274,1743,1115,-10177,2296,3988,3545, 0.005434,0.019899,-0.943670, -0.007812,-0.007812,0.000000,-0.009998,-0.009998,0.000000, 0,  0.000000,0.000000,-0.950684, 115,0,4092,3000,3128,4220,3245,3430,3665,3357,0
9, 0.017298, -2310,248,239,1952,-890,-9854,2296,3988,3545, 0.004335,0.020143,-0.943535, -0.007812,-0.007812,0.000000,-0.009998,-0.009998,0.000000, 0,  0.000000,0.000000,-0.950684, 115,0,3895,3000,3276,4171,3289,3443,3665,3347,0
